model,protocol,fold,seed,git_commit,git_dirty,params,size_mb,train_time_s,epochs_run,best_epoch,threshold,val_f1,precision,recall,f1,pr_auc,roc_auc,balanced_accuracy,accuracy,tn,fp,fn,tp,event_recall,event_recall_localized,false_alarms_per_adl_video,false_alarms_per_hour
gru,cv,0,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,19330,0.079997,122.16033954900013,28,18,0.9996067881584167,0.9152542372881356,1.0,0.4482758620689655,0.6190476190476191,0.8344293851553094,0.9045246163045645,0.7241379310344828,0.9207920792079208,173,0,16,13,0.8333333333333334,0.8333333333333334,0.0,0.0
gru,cv,0,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,19330,0.079997,110.7282575239999,25,15,0.7162976861000061,0.9152542372881356,0.8148148148148148,0.7586206896551724,0.7857142857142857,0.8541511246821466,0.898943591787921,0.864859477775563,0.9405940594059405,168,5,7,22,1.0,1.0,0.5,269.1588785046729
gru,cv,0,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,19330,0.079997,104.82551829399995,24,14,0.9364138841629028,0.9285714285714286,0.7692307692307693,0.6896551724137931,0.7272727272727274,0.801836302013605,0.8923659557504484,0.8274865457444689,0.9257425742574258,167,6,9,20,1.0,1.0,0.5,269.1588785046729
gru,cv,1,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,19330,0.079997,68.93106340199984,19,9,0.20345421135425568,0.9393939393939394,0.45652173913043476,0.75,0.5675675675675675,0.6518647144464159,0.9063829787234042,0.8218085106382979,0.8783269961977186,210,25,7,21,1.0,1.0,0.75,330.6122448979592
gru,cv,1,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,19330,0.079997,45.911928377000095,13,3,0.23496972024440765,0.8767123287671232,0.2857142857142857,0.7142857142857143,0.40816326530612246,0.6091224225224975,0.8539513677811551,0.7507598784194529,0.779467680608365,185,50,8,20,1.0,1.0,0.75,330.6122448979592
gru,cv,1,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,19330,0.079997,52.80635852099999,15,5,0.9824839234352112,0.923076923076923,0.42424242424242425,0.5,0.4590163934426229,0.5749405642170267,0.8279635258358663,0.7095744680851064,0.8745247148288974,216,19,14,14,0.5,0.5,0.5,220.40816326530614
gru,cv,2,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,19330,0.079997,74.42247099199994,19,9,0.21051551401615143,0.9642857142857143,0.6410256410256411,0.7575757575757576,0.6944444444444444,0.704771450181743,0.857084357084357,0.8472563472563472,0.9137254901960784,208,14,8,25,0.8333333333333334,0.8333333333333334,0.5,243.24324324324323
gru,cv,2,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,19330,0.079997,71.44346621800014,18,8,0.08714677393436432,0.8928571428571429,0.5897435897435898,0.696969696969697,0.638888888888889,0.70990739974603,0.8524433524433525,0.8124488124488125,0.8980392156862745,206,16,10,23,0.8333333333333334,0.8333333333333334,0.75,364.86486486486484
gru,cv,2,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,19330,0.079997,114.9701604259999,29,19,0.07723923027515411,0.9180327868852458,0.65,0.7878787878787878,0.7123287671232875,0.7685364174435306,0.9050641550641552,0.8624078624078624,0.9176470588235294,208,14,7,26,1.0,1.0,0.375,182.43243243243242
gru,cv,3,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,19330,0.079997,58.40677296500007,14,4,0.7956681251525879,0.7368421052631579,0.42857142857142855,0.782608695652174,0.5538461538461539,0.6520467826251624,0.922046552481335,0.8306982872200264,0.8687782805429864,174,24,5,18,0.8333333333333334,0.8333333333333334,0.5,243.38028169014086
